,year,rank,net_worth_billions,full_name,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_industries,organization_name,position_in_organization,self_made,wealth_status
29091,2023,1,211.0,Bernard Arnault & family,74.0,Male,France,France,Paris,['Fashion & Retail'],LVMH Moët Hennessy Louis Vuitton,Chairman and CEO,False,Increased
29092,2023,2,180.0,Elon Musk,51.0,Male,United States,United States,Austin,['Automotive'],Tesla,CEO,True,Decreased
29093,2023,3,114.0,Jeff Bezos,59.0,Male,United States,United States,Medina,['Technology'],Amazon,Chairman and Founder,True,Decreased
29094,2023,4,107.0,Larry Ellison,78.0,Male,United States,United States,Lanai,['Technology'],Oracle,CTO and Founder,True,Increased
29095,2023,5,106.0,Warren Buffett,92.0,Male,United States,United States,Omaha,['Finance & Investments'],Berkshire Hathaway Inc. (Cl A),CEO,True,Decreased
29096,2023,6,104.0,Bill Gates,67.0,Male,United States,United States,Medina,['Technology'],Bill & Melinda Gates Foundation,Cochair,True,Decreased
29097,2023,7,94.5,Michael Bloomberg,81.0,Male,United States,United States,New York,['Media & Entertainment'],Bloomberg,CEO,True,Increased
29098,2023,8,93.0,Carlos Slim Helu & family,83.0,Male,Mexico,Mexico,Mexico City,['Telecom'],América Móvil,Honorary Chairman,True,Increased
29099,2023,9,83.4,Mukesh Ambani,65.0,Male,India,India,Mumbai,['Diversified'],Reliance Industries,Founder and Chairman,False,Decreased
29100,2023,10,80.7,Steve Ballmer,67.0,Male,United States,United States,Hunts Point,['Technology'],Los Angeles Clippers,Owner,True,Decreased
29101,2023,11,80.5,Francoise Bettencourt Meyers & family,69.0,Female,France,France,Paris,['Fashion & Retail'],,,False,Increased
29102,2023,12,79.2,Larry Page,50.0,Male,United States,United States,Palo Alto,['Technology'],Alphabet,Cofounder and board member,True,Decreased
29103,2023,13,77.3,Amancio Ortega,87.0,Male,Spain,Spain,La Coruna,['Fashion & Retail'],,,True,Increased
29104,2023,14,76.0,Sergey Brin,49.0,Male,United States,United States,Los Altos,['Technology'],Alphabet,Cofounder and board member,True,Decreased
29105,2023,15,68.0,Zhong Shanshan,68.0,Male,China,China,Hangzhou,['Food & Beverage'],,,True,Increased
29106,2023,16,64.4,Mark Zuckerberg,38.0,Male,United States,United States,Palo Alto,['Technology'],Meta Platforms,Cofounder,True,Decreased
29107,2023,17,59.0,Charles Koch,87.0,Male,United States,United States,Wichita,['Diversified'],"Koch Industries, Inc.",Chairman and CEO,False,Decreased
29108,2023,17,59.0,Julia Koch & family,60.0,Female,United States,United States,New York,['Diversified'],,,False,Decreased
29109,2023,19,58.8,Jim Walton,74.0,Male,United States,United States,Bentonville,['Fashion & Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Decreased
29110,2023,20,57.6,Rob Walton,78.0,Male,United States,United States,Bentonville,['Fashion & Retail'],Walmart,Director,False,Decreased
29111,2023,21,56.7,Alice Walton,73.0,Female,United States,United States,Fort Worth,['Fashion & Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Decreased
29112,2023,22,54.4,David Thomson & family,65.0,Male,Canada,Canada,Toronto,['Media & Entertainment'],Thomson Reuters Corporation,Chairman,False,Increased
