,net_worth_billions,age,clusters
0,2.0,73.0,3
1,1.8,69.0,0
2,3.3,65.0,0
3,7.1,59.0,0
4,2.9,53.0,1
5,2.5,66.0,0
6,1.8,65.0,0
7,1.3,68.0,0
8,1.1,71.0,3
9,1.0,63.0,0
10,1.0,63.0,0
11,4.5,63.0,0
12,2.9,45.0,1
13,2.1,66.0,0
14,1.9,54.0,0
15,1.4,47.0,1
16,1.2,61.0,0
17,1.2,59.0,0
18,1.0,63.0,0
19,58.7,45.0,2
20,32.3,70.0,4
21,30.4,48.0,4
22,26.0,56.0,4
23,5.6,63.0,0
24,20.0,44.0,4
25,18.8,53.0,4
26,4.7,60.0,0
27,18.6,57.0,4
28,18.5,52.0,4
29,17.8,74.0,4
30,16.6,45.0,4
31,3.4,60.0,0
32,15.6,75.0,4
33,15.3,61.0,4
34,13.0,75.0,4
35,12.6,73.0,4
36,12.6,78.0,3
37,11.7,81.0,3
38,11.5,0.0,1
39,10.8,61.0,0
40,10.7,52.0,1
41,10.5,35.0,1
42,10.5,36.0,1
43,10.3,64.0,0
44,9.1,39.0,1
45,9.0,69.0,0
46,9.0,61.0,0
47,9.0,65.0,0
48,9.0,48.0,1
49,8.8,48.0,1
50,8.8,62.0,0
51,7.8,70.0,3
52,7.7,75.0,3
53,6.9,55.0,0
54,6.6,66.0,0
55,6.6,65.0,0
56,6.5,49.0,1
57,6.4,84.0,3
58,6.3,64.0,0
59,6.3,64.0,0
60,6.0,58.0,0
61,6.0,70.0,3
62,5.9,73.0,3
63,5.8,68.0,0
64,5.7,58.0,0
65,5.6,43.0,1
66,5.5,66.0,0
67,5.5,51.0,1
68,5.4,75.0,3
69,5.4,72.0,3
70,5.4,57.0,0
71,5.3,56.0,0
72,5.3,90.0,3
73,5.3,53.0,1
74,5.0,71.0,3
75,5.0,73.0,3
76,5.0,58.0,0
77,5.0,71.0,3
78,5.0,0.0,1
79,4.9,76.0,3
80,4.8,60.0,0
81,4.8,52.0,1
82,4.7,46.0,1
83,4.6,71.0,3
84,4.6,54.0,0
85,4.5,58.0,0
86,4.5,77.0,3
87,4.5,35.0,1
88,4.5,44.0,1
89,4.5,56.0,0
90,4.4,0.0,1
91,4.3,45.0,1
92,4.3,63.0,0
93,4.1,52.0,1
94,4.0,69.0,0
95,4.0,68.0,0
96,4.0,57.0,0
97,4.0,60.0,0
98,3.8,58.0,0
99,3.8,64.0,0
100,3.8,68.0,0
101,3.8,71.0,3
102,3.7,43.0,1
103,3.7,65.0,0
104,3.7,47.0,1
105,3.7,78.0,3
106,3.5,0.0,1
107,3.5,51.0,1
108,3.5,58.0,0
109,3.5,53.0,1
110,3.5,66.0,0
111,3.4,70.0,0
112,3.4,58.0,0
113,3.4,51.0,1
114,3.3,72.0,3
115,3.3,55.0,0
116,3.3,64.0,0
117,3.3,59.0,0
118,3.3,74.0,3
119,3.3,71.0,3
120,3.3,64.0,0
121,3.3,58.0,0
122,3.2,70.0,0
123,3.2,65.0,0
124,3.2,77.0,3
125,3.2,65.0,0
126,3.2,61.0,0
127,3.2,57.0,0
128,3.1,76.0,3
129,3.1,61.0,0
130,3.1,38.0,1
131,3.0,33.0,1
132,3.0,53.0,1
133,3.0,49.0,1
134,3.0,76.0,3
135,3.0,82.0,3
136,3.0,60.0,0
137,3.0,57.0,0
138,3.0,70.0,0
139,3.0,45.0,1
140,2.9,63.0,0
141,2.9,73.0,3
142,2.8,74.0,3
143,2.8,80.0,3
144,2.8,53.0,1
145,2.8,78.0,3
146,2.8,55.0,0
147,2.7,75.0,3
148,2.7,68.0,0
149,2.7,36.0,1
150,2.6,55.0,0
151,2.6,60.0,0
152,2.5,77.0,3
153,2.5,70.0,0
154,2.5,71.0,3
155,2.5,70.0,0
156,2.5,60.0,0
157,2.5,86.0,3
158,2.5,47.0,1
159,2.5,0.0,1
160,2.5,56.0,0
161,2.4,42.0,1
162,2.4,63.0,0
163,2.3,49.0,1
164,2.3,65.0,0
165,2.3,0.0,1
166,2.3,58.0,0
167,2.3,58.0,0
168,2.3,61.0,0
169,2.3,46.0,1
170,2.3,60.0,0
171,2.2,63.0,0
172,2.2,60.0,0
173,2.2,62.0,0
174,2.2,65.0,0
175,2.2,64.0,0
176,2.2,65.0,0
177,2.2,49.0,1
178,2.2,70.0,0
179,2.2,55.0,0
180,2.2,59.0,0
181,2.2,48.0,1
182,2.1,81.0,3
183,2.1,57.0,0
184,2.1,68.0,0
185,2.1,73.0,3
186,2.1,0.0,1
187,2.1,54.0,0
188,2.0,37.0,1
189,2.0,61.0,0
190,2.0,58.0,0
191,2.0,34.0,1
192,2.0,63.0,0
193,2.0,61.0,0
194,2.0,67.0,0
195,2.0,37.0,1
196,1.9,47.0,1
197,1.9,0.0,1
198,1.9,58.0,0
199,1.9,47.0,1
200,1.9,53.0,1
201,1.9,58.0,0
202,1.9,72.0,3
203,1.9,57.0,0
204,1.9,60.0,0
205,1.9,59.0,0
206,1.8,77.0,3
207,1.8,61.0,0
208,1.8,75.0,3
209,1.8,65.0,0
210,1.8,50.0,1
211,1.8,48.0,1
212,1.8,62.0,0
213,1.8,40.0,1
214,1.8,59.0,0
215,1.8,72.0,3
216,1.8,67.0,0
217,1.8,51.0,1
218,1.8,51.0,1
219,1.8,40.0,1
220,1.7,66.0,0
221,1.7,63.0,0
222,1.7,34.0,1
223,1.7,74.0,3
224,1.7,71.0,3
225,1.7,52.0,1
226,1.7,61.0,0
227,1.7,60.0,0
228,1.7,69.0,0
229,1.7,60.0,0
230,1.7,66.0,0
231,1.7,69.0,0
232,1.7,55.0,0
233,1.6,50.0,1
234,1.6,78.0,3
235,1.6,75.0,3
236,1.6,64.0,0
237,1.6,74.0,3
238,1.6,68.0,0
239,1.6,59.0,0
240,1.6,47.0,1
241,1.6,82.0,3
242,1.6,34.0,1
243,1.6,66.0,0
244,1.5,64.0,0
245,1.5,54.0,0
246,1.5,56.0,0
247,1.5,57.0,0
248,1.5,62.0,0
249,1.5,73.0,3
250,1.5,35.0,1
251,1.5,44.0,1
252,1.5,49.0,1
253,1.5,56.0,0
254,1.5,68.0,0
255,1.5,70.0,0
256,1.5,62.0,0
257,1.5,65.0,0
258,1.5,53.0,1
259,1.4,34.0,1
260,1.4,71.0,3
261,1.4,66.0,0
262,1.4,43.0,1
263,1.4,42.0,1
264,1.4,49.0,1
265,1.4,76.0,3
266,1.4,62.0,0
267,1.4,55.0,0
268,1.4,59.0,0
269,1.4,44.0,1
270,1.4,58.0,0
271,1.4,64.0,0
272,1.4,64.0,0
273,1.4,62.0,0
274,1.4,63.0,0
275,1.3,51.0,1
276,1.3,37.0,1
277,1.3,57.0,0
278,1.3,61.0,0
279,1.3,59.0,0
280,1.3,68.0,0
281,1.3,46.0,1
282,1.3,65.0,0
283,1.3,55.0,0
284,1.3,0.0,1
285,1.3,54.0,0
286,1.3,76.0,3
287,1.3,51.0,1
288,1.3,56.0,0
